,number,value,datetime_start,datetime_complete,duration,params_enemyHp,params_enemyMeleeDamage,params_enemyShotDamage,params_playerHp,params_playerMeleeDamage,params_playerShotDamage,state
0,0,2.6666666666666665,2025-10-24 11:29:23.762898,2025-10-24 11:30:11.695176,0 days 00:00:47.932278,4,3,4,2,2,5,COMPLETE
1,1,2.6666666666666665,2025-10-24 11:30:11.695283,2025-10-24 11:31:08.180837,0 days 00:00:56.485554,4,3,3,3,2,2,COMPLETE
2,2,1.6666666666666667,2025-10-24 11:31:08.180952,2025-10-24 11:31:46.845432,0 days 00:00:38.664480,4,1,3,5,3,5,COMPLETE
3,3,1.6666666666666667,2025-10-24 11:31:46.845548,2025-10-24 11:32:29.728445,0 days 00:00:42.882897,4,3,5,2,5,3,COMPLETE
4,4,2.0,2025-10-24 11:32:29.728554,2025-10-24 11:33:16.996792,0 days 00:00:47.268238,3,3,3,4,2,1,COMPLETE
5,5,4.0,2025-10-24 11:33:16.996900,2025-10-24 11:34:20.491081,0 days 00:01:03.494181,5,2,4,4,1,2,COMPLETE
6,6,2.3333333333333335,2025-10-24 11:34:20.491194,2025-10-24 11:35:12.109889,0 days 00:00:51.618695,5,4,3,3,0,2,COMPLETE
7,7,2.6666666666666665,2025-10-24 11:35:12.110001,2025-10-24 11:36:07.708750,0 days 00:00:55.598749,4,3,0,3,2,0,COMPLETE
8,8,3.0,2025-10-24 11:36:07.708861,2025-10-24 11:37:09.625419,0 days 00:01:01.916558,4,1,5,4,2,1,COMPLETE
9,9,1.0,2025-10-24 11:37:09.625534,2025-10-24 11:37:33.468696,0 days 00:00:23.843162,5,2,1,0,5,2,COMPLETE
10,10,3.0,2025-10-24 11:37:33.468806,2025-10-24 11:38:24.761249,0 days 00:00:51.292443,3,5,4,3,2,3,COMPLETE
11,11,3.6666666666666665,2025-10-24 11:38:24.761365,2025-10-24 11:39:26.636733,0 days 00:01:01.875368,4,5,0,5,0,0,COMPLETE
12,12,1.0,2025-10-24 11:39:26.636845,2025-10-24 11:39:50.073935,0 days 00:00:23.437090,3,2,2,0,3,5,COMPLETE
13,13,1.0,2025-10-24 11:39:50.074039,2025-10-24 11:40:21.574271,0 days 00:00:31.500232,2,0,0,5,5,1,COMPLETE
14,14,2.3333333333333335,2025-10-24 11:40:21.574378,2025-10-24 11:41:01.621796,0 days 00:00:40.047418,3,2,5,1,2,4,COMPLETE
15,15,7.666666666666667,2025-10-24 11:41:01.621903,2025-10-24 11:42:15.759753,0 days 00:01:14.137850,4,0,0,3,5,4,COMPLETE
16,16,1.0,2025-10-24 11:42:15.759866,2025-10-24 11:42:39.540458,0 days 00:00:23.780592,5,1,1,0,5,3,COMPLETE
17,17,2.0,2025-10-24 11:42:39.540564,2025-10-24 11:43:32.535337,0 days 00:00:52.994773,2,4,5,3,0,4,COMPLETE
18,18,3.0,2025-10-24 11:43:32.535466,2025-10-24 11:44:21.850416,0 days 00:00:49.314950,5,2,3,1,4,5,COMPLETE
19,19,1.3333333333333333,2025-10-24 11:44:21.850560,2025-10-24 11:45:01.626475,0 days 00:00:39.775915,1,2,4,2,2,0,COMPLETE
20,20,2.0,2025-10-24 11:45:01.626589,2025-10-24 11:45:50.029309,0 days 00:00:48.402720,1,4,5,4,2,3,COMPLETE
21,21,7.333333333333333,2025-10-24 11:45:50.029459,2025-10-24 11:47:17.186358,0 days 00:01:27.156899,2,0,3,5,3,4,COMPLETE
22,22,2.6666666666666665,2025-10-24 11:47:17.186478,2025-10-24 11:48:08.829871,0 days 00:00:51.643393,4,3,5,2,5,0,COMPLETE
23,23,1.3333333333333333,2025-10-24 11:48:08.829982,2025-10-24 11:48:43.553114,0 days 00:00:34.723132,3,3,0,2,2,2,COMPLETE
24,24,2.0,2025-10-24 11:48:43.553337,2025-10-24 11:49:39.609620,0 days 00:00:56.056283,5,5,5,1,1,3,COMPLETE
25,25,2.0,2025-10-24 11:49:39.609748,2025-10-24 11:50:16.539740,0 days 00:00:36.929992,5,2,5,4,4,5,COMPLETE
26,26,4.0,2025-10-24 11:50:16.539852,2025-10-24 11:51:17.667086,0 days 00:01:01.127234,1,2,1,5,4,3,COMPLETE
27,27,2.0,2025-10-24 11:51:17.667320,2025-10-24 11:52:13.220519,0 days 00:00:55.553199,5,3,2,1,1,0,COMPLETE
28,28,1.0,2025-10-24 11:52:13.220627,2025-10-24 11:52:49.090743,0 days 00:00:35.870116,1,0,1,3,5,1,COMPLETE
29,29,2.6666666666666665,2025-10-24 11:52:49.090847,2025-10-24 11:53:42.830345,0 days 00:00:53.739498,4,5,5,1,4,5,COMPLETE
30,30,4.0,2025-10-24 11:53:42.830458,2025-10-24 11:54:42.498802,0 days 00:00:59.668344,5,3,1,3,5,3,COMPLETE
31,31,2.6666666666666665,2025-10-24 11:54:42.500580,2025-10-24 11:55:48.651929,0 days 00:01:06.151349,5,5,3,1,1,2,COMPLETE
32,32,1.0,2025-10-24 11:55:48.652035,2025-10-24 11:56:12.736865,0 days 00:00:24.084830,3,3,2,0,4,3,COMPLETE
33,33,2.3333333333333335,2025-10-24 11:56:12.737011,2025-10-24 11:57:01.247320,0 days 00:00:48.510309,2,4,1,2,1,5,COMPLETE
34,34,2.6666666666666665,2025-10-24 11:57:01.247435,2025-10-24 11:57:49.852952,0 days 00:00:48.605517,2,0,5,2,0,1,COMPLETE
35,35,1.0,2025-10-24 11:57:49.853058,2025-10-24 11:58:16.167151,0 days 00:00:26.314093,4,4,4,0,4,2,COMPLETE
36,36,2.0,2025-10-24 11:58:16.167260,2025-10-24 11:58:55.878756,0 days 00:00:39.711496,3,5,5,3,2,5,COMPLETE
37,37,2.6666666666666665,2025-10-24 11:58:55.878865,2025-10-24 11:59:52.078795,0 days 00:00:56.199930,5,3,0,1,5,1,COMPLETE
38,38,3.3333333333333335,2025-10-24 11:59:52.078906,2025-10-24 12:00:47.223560,0 days 00:00:55.144654,4,2,2,1,4,5,COMPLETE
39,39,1.0,2025-10-24 12:00:47.223730,2025-10-24 12:01:13.548967,0 days 00:00:26.325237,3,5,1,0,1,1,COMPLETE
40,40,1.0,2025-10-24 12:01:13.549071,2025-10-24 12:01:41.398708,0 days 00:00:27.849637,2,0,2,0,0,3,COMPLETE
41,41,2.0,2025-10-24 12:01:41.398813,2025-10-24 12:02:31.516706,0 days 00:00:50.117893,1,3,1,3,0,0,COMPLETE
42,42,2.3333333333333335,2025-10-24 12:02:31.516817,2025-10-24 12:03:26.382476,0 days 00:00:54.865659,4,0,1,4,2,2,COMPLETE
43,43,3.3333333333333335,2025-10-24 12:03:26.382590,2025-10-24 12:04:32.566417,0 days 00:01:06.183827,4,4,1,5,0,1,COMPLETE
44,44,1.0,2025-10-24 12:04:32.566530,2025-10-24 12:05:05.897036,0 days 00:00:33.330506,2,1,4,3,2,1,COMPLETE
45,45,3.3333333333333335,2025-10-24 12:05:05.897150,2025-10-24 12:06:09.780059,0 days 00:01:03.882909,5,1,2,2,0,5,COMPLETE
46,46,1.0,2025-10-24 12:06:09.780179,2025-10-24 12:06:42.481172,0 days 00:00:32.700993,2,5,4,5,2,1,COMPLETE
47,47,1.0,2025-10-24 12:06:42.481285,2025-10-24 12:07:22.385048,0 days 00:00:39.903763,3,0,2,4,5,5,COMPLETE
