,number,value,datetime_start,datetime_complete,duration,params_playerShotDamage,params_playerShotRange,user_attrs_lost_players_std,user_attrs_rounds_std,state
0,0,10.0,2025-12-02 12:05:56.963942,2025-12-02 12:06:15.062296,0 days 00:00:18.098354,10,6,,,COMPLETE
1,1,0.0,2025-12-02 12:06:15.062477,2025-12-02 12:06:35.323241,0 days 00:00:20.260764,1,6,,,COMPLETE
2,2,10.0,2025-12-02 12:06:35.323351,2025-12-02 12:07:01.805112,0 days 00:00:26.481761,9,3,,,COMPLETE
3,3,3.0,2025-12-02 12:07:01.805228,2025-12-02 12:07:23.597976,0 days 00:00:21.792748,6,6,,,COMPLETE
4,4,5.0,2025-12-02 12:07:23.598097,2025-12-02 12:07:46.139003,0 days 00:00:22.540906,7,3,,,COMPLETE
5,5,3.0,2025-12-02 12:07:46.139127,2025-12-02 12:08:07.702005,0 days 00:00:21.562878,7,9,,,COMPLETE
6,6,1.0,2025-12-02 12:08:07.702136,2025-12-02 12:08:27.840458,0 days 00:00:20.138322,4,2,,,COMPLETE
7,7,2.0,2025-12-02 12:08:27.840567,2025-12-02 12:08:49.236540,0 days 00:00:21.395973,6,6,,,COMPLETE
8,8,2.0,2025-12-02 12:08:49.236646,2025-12-02 12:09:10.388252,0 days 00:00:21.151606,7,9,,,COMPLETE
9,9,5.0,2025-12-02 12:09:10.388368,2025-12-02 12:09:33.771492,0 days 00:00:23.383124,4,6,,,COMPLETE
10,10,0.0,2025-12-02 12:09:33.771617,2025-12-02 12:09:52.672982,0 days 00:00:18.901365,2,3,,,COMPLETE
11,11,10.0,2025-12-02 12:09:52.673095,2025-12-02 12:10:14.737021,0 days 00:00:22.063926,9,9,,,COMPLETE
12,12,0.0,2025-12-02 12:10:14.737159,2025-12-02 12:10:32.846333,0 days 00:00:18.109174,3,10,,,COMPLETE
13,13,1.0,2025-12-02 12:10:32.846452,2025-12-02 12:10:52.192664,0 days 00:00:19.346212,5,4,,,COMPLETE
14,14,0.0,2025-12-02 12:10:52.192785,2025-12-02 12:11:10.217087,0 days 00:00:18.024302,3,1,,,COMPLETE
15,15,1.0,2025-12-02 12:11:10.217203,2025-12-02 12:11:31.895615,0 days 00:00:21.678412,2,4,,,COMPLETE
16,16,10.0,2025-12-02 12:11:31.895721,2025-12-02 12:11:51.050104,0 days 00:00:19.154383,10,2,,,COMPLETE
17,17,0.0,2025-12-02 12:11:51.050392,2025-12-02 12:12:10.464296,0 days 00:00:19.413904,2,5,,,COMPLETE
