,number,values_0,values_1,datetime_start,datetime_complete,duration,params_enemyHp,params_enemyMeleeDamage,params_enemyShotDamage,params_playerHp,params_playerMeleeDamage,params_playerShotDamage,user_attrs_lost_players_std,user_attrs_rounds_std,system_attrs_NSGAIISampler:generation,state
0,0,2.4,0.8,2025-11-08 09:37:15.691685,2025-11-08 09:38:23.935430,0 days 00:01:08.243745,3,0,3,4,2,5,2.3944379994757297,1.1737877907772674,0,COMPLETE
1,1,1.0,1.0,2025-11-08 09:38:23.935550,2025-11-08 09:38:57.056379,0 days 00:00:33.120829,2,4,3,0,2,4,0.0,0.0,0,COMPLETE
2,2,1.0,1.0,2025-11-08 09:38:57.056473,2025-11-08 09:39:30.410254,0 days 00:00:33.353781,5,5,1,0,0,1,0.0,0.0,0,COMPLETE
3,3,5.2,3.3,2025-11-08 09:39:30.410367,2025-11-08 09:41:04.158293,0 days 00:01:33.747926,1,4,2,5,1,1,1.5670212364724214,2.250925735484551,0,COMPLETE
4,4,3.8,1.2000000000000002,2025-11-08 09:41:04.158396,2025-11-08 09:42:34.601263,0 days 00:01:30.442867,5,2,2,5,3,0,1.6193277068654823,1.6865480854231356,0,COMPLETE
5,5,2.7,0.30000000000000004,2025-11-08 09:42:34.601366,2025-11-08 09:43:47.110120,0 days 00:01:12.508754,4,1,2,4,3,5,1.766981104093143,2.1628170930011112,0,COMPLETE
6,6,1.3,0.30000000000000004,2025-11-08 09:43:47.110243,2025-11-08 09:44:44.458058,0 days 00:00:57.347815,3,3,1,1,3,2,2.1628170930011112,0.48304589153964794,0,COMPLETE
7,7,3.3,1.7000000000000002,2025-11-08 09:44:44.458168,2025-11-08 09:46:10.127232,0 days 00:01:25.669064,5,2,4,4,2,5,2.110818693198342,1.8287822299126937,0,COMPLETE
8,8,3.1,2.8,2025-11-08 09:46:10.127337,2025-11-08 09:47:24.736292,0 days 00:01:14.608955,2,2,0,1,1,3,1.6193277068654826,0.9944289260117533,0,COMPLETE
9,9,1.7,0.7,2025-11-08 09:47:24.736401,2025-11-08 09:48:30.716236,0 days 00:01:05.979835,3,4,3,1,4,2,1.7669811040931427,0.6749485577105528,0,COMPLETE
10,10,2.1,4.0,2025-11-08 09:48:30.716341,2025-11-08 09:49:41.652932,0 days 00:01:10.936591,1,4,2,3,1,4,0.0,0.31622776601683794,0,COMPLETE
11,11,2.5,4.0,2025-11-08 09:49:41.653033,2025-11-08 09:50:56.507723,0 days 00:01:14.854690,1,5,5,1,0,4,0.0,0.7071067811865476,0,COMPLETE
12,12,4.0,3.9000000000000004,2025-11-08 09:50:56.507834,2025-11-08 09:52:29.531407,0 days 00:01:33.023573,5,3,2,1,1,5,0.31622776601683794,1.1547005383792515,0,COMPLETE
13,13,2.1,4.0,2025-11-08 09:52:29.531512,2025-11-08 09:53:43.568160,0 days 00:01:14.036648,1,4,4,5,1,5,0.0,0.31622776601683794,0,COMPLETE
14,14,2.5,3.4000000000000004,2025-11-08 09:53:43.568276,2025-11-08 09:55:14.233196,0 days 00:01:30.664920,4,3,2,3,3,2,1.2649110640673518,0.7071067811865476,0,COMPLETE
15,15,1.0,1.0,2025-11-08 09:55:14.233306,2025-11-08 09:55:50.342880,0 days 00:00:36.109574,2,3,5,0,4,2,0.0,0.0,0,COMPLETE
16,16,3.8,2.1,2025-11-08 09:55:50.342981,2025-11-08 09:57:30.329468,0 days 00:01:39.986487,2,1,0,3,0,4,2.282785822435191,2.5298221281347035,0,COMPLETE
17,17,1.9,0.5,2025-11-08 09:57:30.329577,2025-11-08 09:58:39.789410,0 days 00:01:09.459833,4,4,4,2,0,3,2.0138409955990952,1.1005049346146119,0,COMPLETE
18,18,2.0,0.7,2025-11-08 09:58:39.789521,2025-11-08 09:59:46.320406,0 days 00:01:06.530885,1,0,3,5,0,1,0.48304589153964794,0.816496580927726,0,COMPLETE
19,19,2.5,4.0,2025-11-08 09:59:46.320513,2025-11-08 10:01:06.589678,0 days 00:01:20.269165,1,5,3,1,5,2,0.0,0.5270462766947299,0,COMPLETE
20,20,1.6,0.0,2025-11-08 10:01:06.589794,2025-11-08 10:02:10.624091,0 days 00:01:04.034297,3,4,2,3,3,2,1.699673171197595,0.9660917830792959,0,COMPLETE
21,21,2.9,2.3,2025-11-08 10:02:10.624213,2025-11-08 10:03:42.053895,0 days 00:01:31.429682,5,0,4,5,3,3,2.263232692902394,1.1972189997378648,0,COMPLETE
22,22,1.0,1.0,2025-11-08 10:03:42.054001,2025-11-08 10:04:19.942238,0 days 00:00:37.888237,1,2,5,0,2,4,0.0,0.0,0,COMPLETE
23,23,4.6,3.3,2025-11-08 10:04:19.942340,2025-11-08 10:06:22.002319,0 days 00:02:02.059979,4,0,0,2,5,0,1.0593499054713802,1.1737877907772671,0,COMPLETE
24,24,3.7,4.0,2025-11-08 10:06:22.002428,2025-11-08 10:07:59.232021,0 days 00:01:37.229593,1,2,5,1,3,1,0.0,0.9486832980505138,0,COMPLETE
25,25,4.4,3.3,2025-11-08 10:07:59.232127,2025-11-08 10:09:57.824588,0 days 00:01:58.592461,4,1,5,5,2,2,1.5670212364724214,2.6331223544175333,0,COMPLETE
26,26,2.1,4.0,2025-11-08 10:09:57.824697,2025-11-08 10:11:22.382447,0 days 00:01:24.557750,1,2,2,1,3,5,0.0,0.31622776601683794,0,COMPLETE
27,27,1.0,1.0,2025-11-08 10:11:22.382550,2025-11-08 10:12:01.531082,0 days 00:00:39.148532,3,2,5,0,3,2,0.0,0.0,0,COMPLETE
28,28,2.6,3.5,2025-11-08 10:12:01.531190,2025-11-08 10:13:31.621181,0 days 00:01:30.089991,3,3,2,4,1,1,1.5811388300841898,0.8432740427115678,0,COMPLETE
29,29,2.4,0.19999999999999996,2025-11-08 10:13:31.621278,2025-11-08 10:15:01.285437,0 days 00:01:29.664159,3,2,0,3,3,2,0.7888106377466155,1.2649110640673518,0,COMPLETE
30,30,2.8,3.5,2025-11-08 10:15:01.285556,2025-11-08 10:16:41.432987,0 days 00:01:40.147431,5,2,3,3,4,0,1.0801234497346435,0.7888106377466155,0,COMPLETE
31,31,1.4,1.0,2025-11-08 10:16:41.433093,2025-11-08 10:17:47.845368,0 days 00:01:06.412275,5,0,1,5,0,4,0.0,0.6992058987801011,0,COMPLETE
32,32,5.5,1.6,2025-11-08 10:17:47.845475,2025-11-08 10:19:53.252924,0 days 00:02:05.407449,2,0,1,4,5,2,2.0655911179772892,3.5039660069381067,0,COMPLETE
33,33,2.3,0.6000000000000001,2025-11-08 10:19:53.253029,2025-11-08 10:21:17.634170,0 days 00:01:24.381141,3,3,5,5,1,2,1.837873166945363,1.4944341180973264,0,COMPLETE
34,34,2.8,1.2000000000000002,2025-11-08 10:21:17.634280,2025-11-08 10:22:43.624426,0 days 00:01:25.990146,4,5,3,5,3,4,1.8737959096740262,1.6193277068654823,0,COMPLETE
35,35,1.0,1.0,2025-11-08 10:22:43.624555,2025-11-08 10:23:25.982969,0 days 00:00:42.358414,4,4,4,0,2,5,0.0,0.0,0,COMPLETE
36,36,1.0,1.0,2025-11-08 10:23:25.983068,2025-11-08 10:24:07.134559,0 days 00:00:41.151491,1,1,5,0,1,2,0.0,0.0,0,COMPLETE
37,37,1.9,0.09999999999999998,2025-11-08 10:24:07.134657,2025-11-08 10:25:20.837368,0 days 00:01:13.702711,5,5,1,4,2,4,1.449137674618944,1.5951314818673865,0,COMPLETE
38,38,1.0,1.0,2025-11-08 10:25:20.837474,2025-11-08 10:26:03.682148,0 days 00:00:42.844674,4,0,3,0,0,5,0.0,0.0,0,COMPLETE
39,39,2.6,4.0,2025-11-08 10:26:03.682260,2025-11-08 10:27:32.170547,0 days 00:01:28.488287,1,3,2,3,0,5,0.0,0.6992058987801011,0,COMPLETE
40,40,1.7,0.0,2025-11-08 10:27:32.170662,2025-11-08 10:28:44.894586,0 days 00:01:12.723924,2,5,5,4,3,1,1.3333333333333333,0.9486832980505138,0,COMPLETE
41,41,2.6,3.4000000000000004,2025-11-08 10:28:44.894712,2025-11-08 10:30:25.190477,0 days 00:01:40.295765,3,4,3,1,5,0,1.0749676997731399,0.6992058987801011,0,COMPLETE
42,42,1.6,0.4,2025-11-08 10:30:25.190593,2025-11-08 10:31:39.842831,0 days 00:01:14.652238,4,4,3,5,3,4,0.9660917830792959,0.8432740427115678,0,COMPLETE
43,43,2.2,4.0,2025-11-08 10:31:39.842940,2025-11-08 10:33:14.557000,0 days 00:01:34.714060,3,3,1,4,0,0,0.0,0.4216370213557839,0,COMPLETE
44,44,1.1,0.9,2025-11-08 10:33:14.557135,2025-11-08 10:34:12.166064,0 days 00:00:57.608929,5,2,3,5,4,4,0.31622776601683794,0.31622776601683794,0,COMPLETE
45,45,1.0,1.0,2025-11-08 10:34:12.166173,2025-11-08 10:34:56.932635,0 days 00:00:44.766462,2,0,3,0,3,5,0.0,0.0,0,COMPLETE
46,46,1.8,0.3999999999999999,2025-11-08 10:34:56.932743,2025-11-08 10:36:17.625217,0 days 00:01:20.692474,4,1,1,1,3,3,1.577621275493231,0.9189365834726815,0,COMPLETE
47,47,3.1,3.3,2025-11-08 10:36:17.625322,2025-11-08 10:38:09.068390,0 days 00:01:51.443068,4,2,5,5,1,2,1.6363916944844772,1.286683937707919,0,COMPLETE
48,48,2.3,4.0,2025-11-08 10:38:09.068573,2025-11-08 10:39:47.839699,0 days 00:01:38.771126,5,2,4,3,1,1,0.0,0.6749485577105528,0,COMPLETE
